"","V237","V10","V253","V22","V11","V46","V68"
"223","32","Quite happy","Third step","7","Good","8","7"
"224","30","Very happy","Seventh step","7","Good","5","5"
"225","44","Quite happy","Tenth step","8","Good","7","7"
"226","41","Quite happy","Tenth step","7","Very good","8","8"
"227","45","Not very happy","Tenth step","8","Fair","A great deal","2"
"228","37","Very happy","Sixth step","9","Good","9","9"
"229","24","Quite happy","Nineth step","9","Good","8","7"
"230","53","Very happy","Nineth step","5","Fair","5","5"
"231","46","Not at all happy","Tenth step","5","Fair","5","5"
"232","64","Quite happy","Tenth step","5","Good","5","Satisfied"
"233","38","Quite happy","Tenth step","5","Very good","8","9"
"234","23","Quite happy","Nineth step","9","Very good","8","9"
"235","25","Quite happy","Sixth step","7","Fair","7","5"
"236","58","Not very happy","Seventh step","5","Fair","5","5"
"237","25","Quite happy","Tenth step","8","Good","8","8"
"238","19","Very happy","Fifth step","5","Very good","5","5"
"239","18","Quite happy","Fifth step","8","Very good","8","7"
"240","37","Quite happy","Sixth step","6","Very good","8","Dissatisfied"
"241","33","Quite happy","Seventh step","8","Good","7","8"
"242","42","Not very happy","Eigth step","6","Fair","6","7"
"243","42","Quite happy","Nineth step","9","Good","9","8"
"244","36","Quite happy","Tenth step","8","Good","7","9"
"247","41","Quite happy","Tenth step","5","Good","5","5"
"248","35","Quite happy","Tenth step","8","Good","9","7"
"249","34","Not very happy","Tenth step","3","Good","7","6"
"250","26","Quite happy","Nineth step","9","Very good","5","9"
"251","47","Quite happy","Tenth step","8","Good","7","5"
"252","41","Quite happy","Eigth step","9","Good","A great deal","8"
"253","37","Quite happy","Sixth step","3","Very good","6","5"
"254","37","Quite happy","Nineth step","7","Good","8","9"
"255","36","Quite happy","Tenth step","8","Very good","7","7"
"256","26","Quite happy","Tenth step","9","Very good","9","7"
"257","63","Quite happy","Sixth step","8","Good","A great deal","9"
"258","25","Quite happy","Nineth step","5","Good","5","5"
"259","32","Quite happy","Tenth step","9","Very good","None at all","8"
"260","31","Quite happy","Tenth step","9","Very good","9","4"
"261","41","Quite happy","Tenth step","8","Good","8","3"
"263","38","Quite happy","Eigth step","7","Good","8","7"
"264","31","Quite happy","Nineth step","5","Good","5","5"
"265","40","Quite happy","Tenth step","Satisfied","Very good","9","6"
"266","35","Quite happy","Tenth step","8","Good","7","6"
"267","38","Very happy","Tenth step","Satisfied","Good","5","9"
"268","30","Quite happy","Nineth step","9","Good","8","8"
"269","39","Quite happy","Nineth step","8","Good","A great deal","8"
"270","53","Quite happy","Nineth step","5","Fair","5","5"
"271","24","Quite happy","Nineth step","9","Very good","5","8"
"272","42","Not very happy","Tenth step","4","Good","8","8"
"273","33","Not very happy","Tenth step","4","Good","7","4"
"274","34","Quite happy","Tenth step","8","Good","7","7"
"275","48","Quite happy","Nineth step","8","Good","8","7"
"276","34","Quite happy","Nineth step","7","Good","A great deal","5"
"277","32","Quite happy","Eigth step","9","Good","A great deal","7"
"278","32","Quite happy","Nineth step","7","Very good","9","3"
"279","40","Quite happy","Tenth step","8","Good","6","8"
"280","29","Not very happy","Nineth step","5","Good","8","6"
"281","29","Quite happy","Nineth step","8","Good","7","7"
"282","27","Quite happy","Tenth step","5","Fair","5","3"
"283","45","Quite happy","Eigth step","Satisfied","Very good","7","6"
"284","19","Not very happy","Eigth step","7","Fair","A great deal","5"
"285","54","Quite happy","Fifth step","9","Fair","A great deal","5"
"286","23","Quite happy","Lower step","8","Good","8","2"
"287","34","Quite happy","Eigth step","8","Good","9","7"
"288","24","Quite happy","Nineth step","8","Good","9","7"
"289","42","Quite happy","Tenth step","Satisfied","Good","A great deal","5"
"290","31","Quite happy","Tenth step","7","Good","8","7"
"291","41","Very happy","Tenth step","9","Very good","9","Satisfied"
"292","20","Quite happy","Tenth step","5","Good","6","8"
"293","42","Quite happy","Eigth step","8","Very good","8","9"
"294","39","Quite happy","Tenth step","Satisfied","Very good","9","8"
"295","23","Very happy","second step","9","Very good","8","4"
"296","44","Quite happy","Tenth step","8","Very good","9","6"
"297","46","Quite happy","Sixth step","8","Fair","7","6"
"298","37","Quite happy","Tenth step","8","Good","8","9"
"299","23","Quite happy","Eigth step","8","Very good","9","8"
"301","63","Very happy","Sixth step","Satisfied","Very good","8","9"
"302","30","Very happy","Eigth step","9","Very good","9","8"
"303","29","Quite happy","Nineth step","9","Good","A great deal","8"
"304","67","Quite happy","Nineth step","8","Fair","5","8"
"305","26","Very happy","second step","Satisfied","Very good","A great deal","7"
"306","48","Quite happy","Eigth step","6","Fair","8","6"
"307","58","Not very happy","Eigth step","7","Good","6","4"
"308","76","Very happy","Third step","Satisfied","Good","A great deal","8"
"309","66","Quite happy","Sixth step","6","Very good","7","Satisfied"
"310","62","Quite happy","Eigth step","7","Good","6","7"
"312","38","Quite happy","Nineth step","9","Very good","9","7"
"313","40","Quite happy","Eigth step","8","Good","6","8"
"314","65","Very happy","Sixth step","Satisfied","Very good","6","8"
"315","25","Quite happy","Tenth step","9","Very good","6","6"
"316","39","Quite happy","Tenth step","8","Good","7","8"
"317","59","Quite happy","Eigth step","8","Very good","8","6"
"318","48","Quite happy","Tenth step","6","Good","8","4"
"319","52","Not very happy","Nineth step","4","Fair","6","6"
"320","42","Quite happy","Tenth step","Satisfied","Very good","6","6"
"321","65","Quite happy","Fifth step","7","Good","7","7"
"322","67","Quite happy","Sixth step","7","Poor","6","9"
"324","27","Quite happy","Nineth step","6","Good","9","2"
"326","34","Quite happy","Tenth step","Satisfied","Good","8","8"
"327","42","Quite happy","Seventh step","6","Good","9","5"
"328","33","Quite happy","Eigth step","8","Good","8","7"
"329","61","Quite happy","Seventh step","8","Fair","8","7"
"330","57","Quite happy","Nineth step","8","Fair","8","8"
"331","68","Very happy","Seventh step","Satisfied","Very good","A great deal","9"
"332","52","Quite happy","Eigth step","9","Good","8","7"
"333","49","Very happy","Eigth step","9","Fair","8","5"
"334","59","Quite happy","Third step","6","Fair","7","6"
"335","44","Quite happy","Sixth step","7","Good","7","6"
"336","41","Very happy","Tenth step","9","Good","9","7"
"337","38","Quite happy","Nineth step","7","Good","7","7"
"338","42","Quite happy","Tenth step","7","Good","9","9"
"339","56","Quite happy","Tenth step","8","Fair","8","8"
"340","23","Quite happy","Lower step","9","Very good","A great deal","2"
"341","39","Quite happy","Tenth step","8","Good","8","8"
"342","36","Quite happy","Tenth step","8","Good","5","6"
"343","51","Quite happy","Tenth step","9","Fair","9","9"
"344","35","Quite happy","Tenth step","9","Good","9","8"
"345","34","Quite happy","Eigth step","9","Very good","A great deal","9"
"346","29","Quite happy","Third step","9","Very good","8","9"
"347","35","Quite happy","Tenth step","8","Very good","8","9"
"348","59","Not very happy","Nineth step","3","Fair","7","Satisfied"
"349","47","Quite happy","Tenth step","Satisfied","Good","A great deal","9"
"350","44","Quite happy","Nineth step","9","Very good","7","7"
"351","43","Quite happy","Tenth step","8","Good","7","4"
"352","75","Quite happy","second step","6","Fair","6","6"
"353","56","Very happy","Eigth step","9","Good","9","8"
"354","37","Quite happy","Nineth step","8","Fair","7","7"
"355","38","Quite happy","Eigth step","9","Good","9","7"
"356","32","Very happy","Eigth step","9","Very good","7","8"
"357","31","Very happy","Nineth step","7","Good","4","7"
"358","32","Quite happy","Tenth step","8","Good","9","5"
"359","66","Quite happy","Fourth step","9","Good","8","8"
"360","42","Quite happy","Nineth step","7","Good","6","5"
"361","39","Quite happy","Tenth step","Satisfied","Good","A great deal","Satisfied"
"362","65","Quite happy","second step","6","Fair","6","8"
"364","68","Very happy","second step","9","Good","7","9"
"365","50","Quite happy","Nineth step","9","Fair","8","8"
"366","35","Quite happy","Seventh step","9","Fair","8","2"
"367","53","Quite happy","Eigth step","7","Fair","8","8"
"368","27","Quite happy","Eigth step","9","Very good","9","7"
"369","37","Quite happy","Nineth step","7","Good","8","8"
"370","27","Quite happy","Eigth step","7","Good","8","3"
"371","44","Quite happy","Eigth step","8","Fair","A great deal","9"
"372","50","Quite happy","Tenth step","9","Good","7","7"
"373","47","Not very happy","Tenth step","5","Good","9","7"
"374","42","Very happy","second step","Satisfied","Very good","7","9"
"375","36","Quite happy","Tenth step","7","Fair","6","5"
"376","45","Not very happy","Nineth step","5","Poor","8","3"
"377","36","Quite happy","Tenth step","7","Good","3","4"
"378","23","Very happy","second step","9","Good","A great deal","Dissatisfied"
"379","37","Quite happy","Tenth step","7","Good","8","8"
"380","44","Quite happy","Tenth step","9","Fair","8","Satisfied"
"381","34","Quite happy","Nineth step","3","Very good","9","4"
"382","36","Quite happy","Nineth step","8","Good","8","2"
"384","39","Quite happy","Sixth step","8","Good","9","7"
"385","35","Quite happy","Tenth step","9","Good","8","9"
"386","63","Quite happy","Eigth step","8","Good","8","7"
"387","54","Quite happy","Nineth step","9","Fair","9","8"
"388","28","Very happy","Sixth step","Satisfied","Very good","6","8"
"389","50","Quite happy","Eigth step","7","Fair","6","7"
"390","55","Quite happy","Fourth step","3","Good","8","Dissatisfied"
"391","28","Very happy","Eigth step","Satisfied","Very good","9","2"
"392","41","Quite happy","Fifth step","7","Good","8","7"
"393","52","Quite happy","Nineth step","Satisfied","Very good","8","8"
"395","38","Quite happy","Tenth step","7","Good","9","7"
"396","43","Quite happy","Tenth step","7","Good","9","8"
"397","34","Quite happy","Eigth step","7","Good","8","7"
"398","41","Quite happy","Eigth step","9","Good","9","6"
"399","42","Quite happy","Nineth step","7","Good","3","3"
"400","37","Quite happy","Nineth step","8","Good","8","3"
"401","55","Not very happy","Seventh step","9","Good","7","6"
"402","41","Very happy","Tenth step","9","Good","9","8"
"403","60","Quite happy","Eigth step","8","Good","7","8"
"404","43","Quite happy","Tenth step","8","Very good","6","Satisfied"
"405","36","Very happy","Tenth step","8","Very good","9","4"
"406","33","Quite happy","Tenth step","9","Good","7","8"
"407","55","Quite happy","Eigth step","8","Very good","7","9"
"408","42","Quite happy","Tenth step","9","Good","8","8"
"409","21","Quite happy","second step","7","Good","7","7"
"410","65","Quite happy","Tenth step","9","Good","9","9"
"411","18","Very happy","Seventh step","Satisfied","Very good","A great deal","8"
"412","38","Quite happy","Tenth step","9","Good","7","5"
"413","26","Quite happy","Eigth step","6","Fair","5","6"
"414","53","Quite happy","Sixth step","6","Poor","7","4"
"415","36","Quite happy","Tenth step","8","Good","8","8"
"416","44","Quite happy","Tenth step","9","Good","8","Satisfied"
"417","24","Very happy","Seventh step","8","Good","8","6"
"418","48","Quite happy","Tenth step","5","Very good","8","7"
"419","40","Quite happy","Tenth step","6","Very good","3","8"
"421","38","Quite happy","Sixth step","8","Good","9","2"
"422","43","Quite happy","Tenth step","7","Good","8","7"
"423","39","Quite happy","Nineth step","8","Very good","8","8"
"424","39","Not very happy","Tenth step","4","Good","5","7"
"425","78","Quite happy","Fifth step","8","Good","8","8"
"426","32","Quite happy","Tenth step","9","Very good","5","3"
"427","65","Very happy","Fifth step","7","Fair","5","9"
"428","31","Quite happy","Eigth step","8","Good","7","3"
"429","53","Quite happy","Lower step","8","Good","9","6"
"430","89","Very happy","Nineth step","8","Good","8","Satisfied"
"431","66","Not at all happy","second step","6","Poor","3","8"
"432","40","Quite happy","Tenth step","8","Very good","9","7"
"433","28","Not very happy","Fourth step","Dissatisfied","Poor","7","7"
"434","39","Quite happy","Fifth step","9","Good","A great deal","7"
"436","25","Quite happy","Eigth step","9","Very good","8","8"
"437","32","Quite happy","Nineth step","9","Good","9","8"
"438","69","Very happy","Sixth step","8","Good","7","6"
"440","75","Very happy","Fourth step","8","Poor","8","9"
"441","50","Quite happy","Seventh step","8","Good","8","9"
"442","60","Quite happy","Eigth step","Satisfied","Fair","None at all","Satisfied"
"443","48","Not very happy","Nineth step","6","Very poor","8","2"
"444","36","Quite happy","Tenth step","3","Very good","8","6"
"445","41","Quite happy","Tenth step","8","Good","8","5"
"446","37","Quite happy","Sixth step","8","Poor","9","8"
"447","64","Quite happy","Tenth step","9","Good","7","9"
"448","37","Quite happy","Tenth step","8","Good","8","6"
"449","74","Very happy","Third step","9","Fair","8","8"
"450","49","Quite happy","Fourth step","Satisfied","Good","9","9"
"451","44","Quite happy","Tenth step","5","Very good","8","8"
"452","37","Quite happy","Tenth step","5","Good","2","4"
"453","43","Quite happy","Nineth step","Satisfied","Good","A great deal","8"
"454","50","Not very happy","Nineth step","6","Poor","8","7"
"455","38","Quite happy","Fifth step","9","Good","9","8"
"456","35","Very happy","Nineth step","8","Good","A great deal","9"
"457","43","Quite happy","Tenth step","9","Good","9","9"
"458","49","Quite happy","Tenth step","9","Fair","9","9"
"459","35","Quite happy","Tenth step","3","Good","9","7"
"460","38","Very happy","Sixth step","9","Good","9","8"
"461","32","Very happy","Seventh step","9","Fair","9","8"
"462","39","Quite happy","Tenth step","4","Fair","3","5"
"463","43","Quite happy","Tenth step","9","Good","9","8"
"464","24","Very happy","Eigth step","Satisfied","Very good","A great deal","6"
"465","33","Not very happy","Tenth step","4","Fair","7","8"
"466","37","Quite happy","Sixth step","9","Fair","9","7"
"467","36","Very happy","Sixth step","Satisfied","Very good","9","Satisfied"
"468","28","Very happy","Lower step","Satisfied","Very good","A great deal","6"
"469","47","Very happy","Tenth step","9","Good","8","8"
"470","44","Quite happy","Tenth step","8","Good","7","8"
"471","43","Quite happy","Nineth step","8","Good","7","8"
"472","54","Quite happy","Nineth step","8","Good","9","8"
"473","33","Quite happy","Sixth step","9","Good","9","8"
"474","37","Very happy","Tenth step","9","Good","9","3"
"475","32","Quite happy","Tenth step","7","Fair","A great deal","Dissatisfied"
"476","39","Quite happy","Tenth step","7","Fair","7","6"
"477","42","Quite happy","Sixth step","9","Fair","9","8"
"478","35","Quite happy","Eigth step","7","Very good","5","Satisfied"
"480","18","Quite happy","Nineth step","8","Very good","9","8"
"481","35","Quite happy","Sixth step","8","Good","9","2"
"482","52","Quite happy","Tenth step","7","Good","6","8"
"483","38","Quite happy","Nineth step","9","Good","8","6"
"484","67","Very happy","second step","9","Fair","9","8"
"485","67","Quite happy","second step","Satisfied","Fair","7","5"
"486","33","Very happy","Nineth step","Satisfied","Very good","A great deal","5"
"487","57","Quite happy","Seventh step","9","Fair","7","8"
"488","78","Quite happy","Sixth step","8","Fair","8","8"
"489","69","Very happy","Sixth step","9","Good","8","7"
"490","75","Quite happy","Third step","8","Good","5","9"
"491","66","Quite happy","Lower step","9","Fair","8","8"
"492","70","Quite happy","Third step","7","Fair","4","8"
"493","34","Quite happy","Fifth step","6","Good","8","8"
"494","44","Quite happy","Nineth step","9","Good","9","8"
"495","44","Quite happy","Fifth step","8","Very good","8","6"
"496","28","Very happy","Tenth step","9","Very good","7","9"
"497","59","Quite happy","Tenth step","8","Fair","7","6"
"498","22","Quite happy","Eigth step","7","Fair","9","4"
"499","72","Quite happy","Eigth step","8","Fair","7","8"
"500","43","Quite happy","Nineth step","8","Very good","8","7"
"501","50","Quite happy","Tenth step","4","Fair","4","6"
"502","40","Very happy","Tenth step","9","Very good","4","9"
"503","41","Not very happy","Eigth step","9","Poor","8","7"
"504","39","Quite happy","Nineth step","9","Good","8","9"
"505","38","Quite happy","Seventh step","9","Good","8","5"
"506","40","Quite happy","Tenth step","7","Good","7","Dissatisfied"
"507","33","Quite happy","Eigth step","8","Very good","7","9"
"508","47","Quite happy","Nineth step","Satisfied","Very good","9","Satisfied"
"509","65","Quite happy","Lower step","7","Good","6","6"
"510","35","Quite happy","Nineth step","9","Very good","7","9"
"511","59","Quite happy","Eigth step","9","Fair","6","7"
"512","62","Quite happy","Nineth step","8","Fair","7","Satisfied"
"513","66","Quite happy","second step","6","Fair","6","6"
"514","33","Very happy","Nineth step","Satisfied","Good","9","8"
"515","34","Quite happy","Eigth step","9","Good","9","7"
"516","20","Quite happy","Sixth step","8","Good","8","7"
"517","39","Quite happy","Seventh step","7","Poor","6","3"
"518","46","Quite happy","Nineth step","9","Good","9","8"
"519","44","Very happy","Nineth step","Satisfied","Very good","9","9"
"520","27","Quite happy","Eigth step","8","Good","9","5"
"521","46","Very happy","Nineth step","9","Very good","9","6"
"522","39","Quite happy","Tenth step","9","Good","A great deal","9"
"523","79","Very happy","second step","Satisfied","Poor","A great deal","8"
"524","18","Quite happy","Tenth step","7","Very good","8","7"
